index,status,local_started_at,local_finished_at,elapsed_s,request_id,started_at,finished_at,latency_ms,pre_batch_ms,prompt_prepare_ms,batch_estimate_ms,queue_wait_ms,batch_exec_ms,response_encode_ms,batch_requests,batch_target_tokens,batch_conditioning_tokens,batch_max_sequence_length,batch_lane,prompt_source,prompt_id,audio_duration_s,rtf,content_bytes,error
0,200,2026-04-17T15:47:55.997354Z,2026-04-17T15:47:56.431319Z,0.433963,80f510a80a77,2026-04-17T15:47:56.057358Z,2026-04-17T15:47:56.428461Z,371.10,2.15,1.85,0.22,6.87,360.45,1.34,2,126,200,163,short_ref,upload_hit,,2.710,0.1369,130124,
1,200,2026-04-17T15:47:55.997653Z,2026-04-17T15:47:56.435114Z,0.43746,93c1c6a2c854,2026-04-17T15:47:56.063674Z,2026-04-17T15:47:56.429175Z,365.50,2.57,2.40,0.12,0.13,360.45,2.12,2,126,200,163,short_ref,upload_hit,,2.720,0.1344,130604,
2,200,2026-04-17T15:47:55.997855Z,2026-04-17T15:48:01.838669Z,5.840813,31be10ee746f,2026-04-17T15:47:56.115310Z,2026-04-17T15:48:01.796154Z,5680.84,0.44,0.28,0.13,314.41,5336.24,28.99,32,2016,3200,163,short_ref,upload_hit,,2.720,2.0885,130604,
3,200,2026-04-17T15:47:55.998044Z,2026-04-17T15:48:01.842619Z,5.844574,7e519bd6369b,2026-04-17T15:47:56.114394Z,2026-04-17T15:48:01.798807Z,5684.41,0.85,0.63,0.17,314.92,5336.24,31.73,32,2016,3200,163,short_ref,upload_hit,,2.710,2.0976,130124,
4,200,2026-04-17T15:47:55.998229Z,2026-04-17T15:48:01.807566Z,5.809335,b9637f3cbb0f,2026-04-17T15:47:56.082845Z,2026-04-17T15:48:01.790445Z,5707.60,5.90,5.57,0.24,341.43,5336.24,23.50,32,2016,3200,163,short_ref,upload_hit,,2.700,2.1139,129644,
5,200,2026-04-17T15:47:55.998440Z,2026-04-17T15:48:01.802075Z,5.803634,4a8ed19f3859,2026-04-17T15:47:56.131378Z,2026-04-17T15:48:01.788573Z,5657.19,0.38,0.25,0.10,298.40,5336.24,20.97,32,2016,3200,163,short_ref,upload_hit,,2.710,2.0875,130124,
6,200,2026-04-17T15:47:55.998632Z,2026-04-17T15:48:01.825403Z,5.826769,89ea9e8c9edb,2026-04-17T15:47:56.115984Z,2026-04-17T15:48:01.794217Z,5678.23,0.53,0.31,0.16,313.66,5336.24,26.87,32,2016,3200,163,short_ref,upload_hit,,2.690,2.1109,129164,
7,200,2026-04-17T15:47:55.998825Z,2026-04-17T15:48:01.841869Z,5.843042,e8d3ca003dda,2026-04-17T15:47:56.090507Z,2026-04-17T15:48:01.799722Z,5709.22,3.38,3.26,0.08,336.28,5336.24,32.70,32,2016,3200,163,short_ref,upload_hit,,2.710,2.1067,130124,
8,200,2026-04-17T15:47:55.999019Z,2026-04-17T15:48:01.822705Z,5.823682,ea6acf387faf,2026-04-17T15:47:56.130261Z,2026-04-17T15:48:01.794127Z,5663.87,0.65,0.39,0.21,299.25,5336.24,26.62,32,2016,3200,163,short_ref,upload_hit,,2.710,2.0900,130124,
9,200,2026-04-17T15:47:55.999210Z,2026-04-17T15:48:01.836669Z,5.837458,2f4a45bdd05b,2026-04-17T15:47:56.131981Z,2026-04-17T15:48:01.795335Z,5663.35,0.57,0.46,0.08,297.61,5336.24,27.57,32,2016,3200,163,short_ref,upload_hit,,2.710,2.0898,130124,
